01-08 01:21:08 Model para number = 14.73
01-08 01:31:52 [ 1] Lr: 0.001000, Training: 1.17%,  Loss: 15.87732, ACC: 0.00% 
01-08 01:32:09 [ 1] Lr: 0.001000, Training: 1.18%,  Loss: 15.87425, ACC: 0.00% 
01-08 01:32:09 [ 1] Lr: 0.001000, Training: 1.19%,  Loss: 15.87396, ACC: 0.00% 
01-08 01:32:09 [ 1] Lr: 0.001000, Training: 1.20%,  Loss: 15.86977, ACC: 0.00% 
01-08 01:32:10 [ 1] Lr: 0.001000, Training: 1.21%,  Loss: 15.86510, ACC: 0.00% 
01-08 01:32:29 [ 1] Lr: 0.001000, Training: 1.22%,  Loss: 15.86322, ACC: 0.00% 
01-08 01:32:29 [ 1] Lr: 0.001000, Training: 1.23%,  Loss: 15.85757, ACC: 0.00% 
01-08 01:32:29 [ 1] Lr: 0.001000, Training: 1.24%,  Loss: 15.85634, ACC: 0.00% 
01-08 01:32:30 [ 1] Lr: 0.001000, Training: 1.25%,  Loss: 15.85366, ACC: 0.00% 
01-08 01:32:53 [ 1] Lr: 0.001000, Training: 1.25%,  Loss: 15.85159, ACC: 0.00% 
01-08 01:32:53 [ 1] Lr: 0.001000, Training: 1.26%,  Loss: 15.85065, ACC: 0.00% 
01-08 01:32:53 [ 1] Lr: 0.001000, Training: 1.27%,  Loss: 15.84543, ACC: 0.00% 
01-08 01:32:54 [ 1] Lr: 0.001000, Training: 1.28%,  Loss: 15.84215, ACC: 0.00% 
01-08 01:33:15 [ 1] Lr: 0.001000, Training: 1.29%,  Loss: 15.83868, ACC: 0.00% 
01-08 01:33:16 [ 1] Lr: 0.001000, Training: 1.30%,  Loss: 15.83537, ACC: 0.00% 
01-08 01:33:16 [ 1] Lr: 0.001000, Training: 1.31%,  Loss: 15.83210, ACC: 0.00% 
01-08 01:33:16 [ 1] Lr: 0.001000, Training: 1.32%,  Loss: 15.82874, ACC: 0.00% 
01-08 01:33:33 [ 1] Lr: 0.001000, Training: 1.33%,  Loss: 15.82622, ACC: 0.00% 
01-08 01:33:33 [ 1] Lr: 0.001000, Training: 1.34%,  Loss: 15.82213, ACC: 0.00% 
01-08 01:33:33 [ 1] Lr: 0.001000, Training: 1.35%,  Loss: 15.81865, ACC: 0.00% 
01-08 01:33:34 [ 1] Lr: 0.001000, Training: 1.36%,  Loss: 15.81515, ACC: 0.00% 
01-08 01:33:58 [ 1] Lr: 0.001000, Training: 1.36%,  Loss: 15.81132, ACC: 0.00% 
01-08 01:33:59 [ 1] Lr: 0.001000, Training: 1.37%,  Loss: 15.81053, ACC: 0.00% 
01-08 01:33:59 [ 1] Lr: 0.001000, Training: 1.38%,  Loss: 15.80800, ACC: 0.00% 
01-08 01:33:59 [ 1] Lr: 0.001000, Training: 1.39%,  Loss: 15.80617, ACC: 0.00% 
01-08 01:34:16 [ 1] Lr: 0.001000, Training: 1.40%,  Loss: 15.80200, ACC: 0.00% 
